user_id,category_id
cm9of6omk000ltieomy1dsc2q,cm9of5sgs0001tieors3xonr7
cm9of6omk000ltieomy1dsc2q,cm9of5sgs0002tieouvjpb1hh
cm9of6omk000ltieomy1dsc2q,cm9of5sgs0003tieobc4kiexc
cm9of8hve000ptieozfphfh02,cm9of5sgs0001tieors3xonr7
cm9of8hve000ptieozfphfh02,cm9of5sgs0009tieos9fcxqqc
cm9of8hve000ptieozfphfh02,cm9of5sgs000dtieohdqded8b
cm9of8hve000ptieozfphfh02,cm9of5sgs000gtieop46lrai3
cm9of8hve000ptieozfphfh02,cm9of5sgs000htieowc20o4tl
cm9p1q6b60004tib4vyhinjro,cm9of5sgs0001tieors3xonr7
cm9p1q6b60004tib4vyhinjro,cm9of5sgs0002tieouvjpb1hh
cm9p1q6b60004tib4vyhinjro,cm9of5sgs0003tieobc4kiexc
cm9p1z40r0004tiugxpbgm79q,cm9of5sgs0001tieors3xonr7
cm9p1z40r0004tiugxpbgm79q,cm9of5sgs0002tieouvjpb1hh
cm9p1z40r0004tiugxpbgm79q,cm9of5sgs000ctieo3knlz1ak
cm9p1z40r0004tiugxpbgm79q,cm9of5sgs000dtieohdqded8b
cm9p1z40r0004tiugxpbgm79q,cm9of5sgs000gtieop46lrai3
cm9p4evpz000ctiwonn0wqayu,cm9of5sgs0001tieors3xonr7
cm9p4evpz000ctiwonn0wqayu,cm9of5sgs000ctieo3knlz1ak
cm9p4evpz000ctiwonn0wqayu,cm9of5sgs000dtieohdqded8b
cm9p4o9w1000ktiwofjqx6pmq,cm9of5sgs0002tieouvjpb1hh
cm9p4o9w1000ktiwofjqx6pmq,cm9of5sgs0008tieozq6w2jgg
cm9p4o9w1000ktiwofjqx6pmq,cm9of5sgs000htieowc20o4tl
cm9p5nggt0000tiks787hougn,cm9of5sgs0001tieors3xonr7
cm9p5nggt0000tiks787hougn,cm9of5sgs0005tieod876mdnp
cm9p5nggt0000tiks787hougn,cm9of5sgs0009tieos9fcxqqc
cm9p60wx5000ftiksvk7r6532,cm9of5sgs0002tieouvjpb1hh
cm9p60wx5000ftiksvk7r6532,cm9of5sgs0003tieobc4kiexc
cm9p60wx5000ftiksvk7r6532,cm9of5sgs0004tieoprkzhlro
cm9p6e7e2000rtiksxv9skrc5,cm9of5sgs0001tieors3xonr7
cm9p6e7e2000rtiksxv9skrc5,cm9of5sgs0002tieouvjpb1hh
cm9p6e7e2000rtiksxv9skrc5,cm9of5sgs000dtieohdqded8b
cm9pcy2u00000tics6de1mhoo,cm9of5sgs0001tieors3xonr7
cm9pcy2u00000tics6de1mhoo,cm9of5sgs0002tieouvjpb1hh
cm9pcy2u00000tics6de1mhoo,cm9of5sgs0005tieod876mdnp
